"NOME_ALUNO","SEXO","IDADE (ao ingressar)","ESTADO_CIVIL (ao ingressar)","ETNIA","COD_CURSO","NOME_CURSO","ANO_INGRESSO","FORMA_INGRESSO","PERIODO_INGRESSO","ANO_EVASAO","PERIODO_EVASAO","Forna de Evasão","NUM_PERIODOS","NUM_MAX_PERIODOS","CH_TOTAL_CURSO","COTISTA","MUNICIPIO","ESTADO","PAIS","CRN","CRA","QTDE_TRANCAMENTOS"
"Aluno 1562","M","19.5","Solteiro(a)","Branca","11","Ciência da Computação","1996","Vestibular","1º Semestre","2003","2º Semestre","Desligado","9","16","2910","N","VITORIA","","Brasil","","4.3","2"
"Aluno 1563","M","17.7","Solteiro(a)","Branca","11","Ciência da Computação","1998","Vestibular","1º Semestre","2002","2º Semestre","Formado","9","16","2910","N","LINHARES","","Brasil","","9.12","0"
"Aluno 1564","M","20.9","Solteiro(a)","Branca","11","Ciência da Computação","1996","Vestibular","1º Semestre","2000","","Desligado","9","16","2910","N","","","","","1.37","0"
"Aluno 1565","M","17.4","Solteiro(a)","Branca","11","Ciência da Computação","1994","Vestibular","1º Semestre","1999","","Formado","9","16","2910","N","CARIACICA","","Brasil","","8.77","0"
"Aluno 1566","M","20.0","Casado(a)","Branca","11","Ciência da Computação","2012","Vestibular","1º Semestre","2017","1º Semestre","Desligado","9","13","3590","S","SERRA","Espirito Santo","Brasil","3964500","3.97","1"
"Aluno 1567","M","21.7","Solteiro(a)","Branca","11","Ciência da Computação","2002","Reopção de Curso","1º Semestre","0","1º Semestre","Desistência","9","16","2910","N","Vila Velha","","Brasil","","0","0"
"Aluno 1568","M","18.2","Solteiro(a)","Branca","11","Ciência da Computação","1997","Vestibular","1º Semestre","2002","1º Semestre","Formado","9","16","2910","N","VILA VELHA","","Brasil","","7.7","0"
"Aluno 1569","M","21.3","Solteiro(a)","Branca","11","Ciência da Computação","1993","Vestibular","1º Semestre","1995","","Desligado","9","16","2910","N","P.DO CANTO/VITORIA","","Brasil","","0","0"
"Aluno 1570","M","22.8","Solteiro(a)","Branca","11","Ciência da Computação","1991","Vestibular","2º Semestre","1999","","Formado","9","16","2910","N","VILA VELHA","","Brasil","","6.6","0"
"Aluno 1571","M","17.8","Solteiro(a)","Branca","11","Ciência da Computação","1993","Vestibular","1º Semestre","1999","","Desligado","9","16","2910","N","BENT.FERREIRA/VIT","","Brasil","","6.15","0"
"Aluno 1572","F","19.2","Solteiro(a)","Branca","11","Ciência da Computação","1996","Vestibular","1º Semestre","2002","1º Semestre","Formado","9","16","2910","N","VITORIA","","Brasil","","6.57","0"
"Aluno 1573","F","19.0","Solteiro(a)","Branca","11","Ciência da Computação","1993","Vestibular","1º Semestre","1995","","Desligado","9","16","2910","N","VITORIA","","Brasil","","0","0"
"Aluno 1574","M","17.1","Solteiro(a)","Branca","11","Ciência da Computação","1991","Vestibular","2º Semestre","1996","","Formado","9","16","2910","N","VILA VELHA","","Brasil","","7.45","0"
"Aluno 1575","M","21.9","Solteiro(a)","Branca","11","Ciência da Computação","1991","Vestibular","2º Semestre","1996","","Desistência","9","16","2910","N","","","","","0.63","0"
